Date,DAU
01-01-2015,1
01-02-2015,5
01-03-2015,1
01-04-2015,4
01-05-2015,7
01-06-2015,15
01-07-2015,10
01-08-2015,10
01-09-2015,14
01-10-2015,6
01-11-2015,4
01-12-2015,10
01-13-2015,14
01-14-2015,17
01-15-2015,14
01-16-2015,14
01-17-2015,2
01-18-2015,1
01-19-2015,7
01-20-2015,13
01-21-2015,13
01-22-2015,12
01-23-2015,10
01-24-2015,3
01-25-2015,4
01-26-2015,12
01-27-2015,15
01-28-2015,18
01-29-2015,25
01-30-2015,14
01-31-2015,5
02-01-2015,1
02-02-2015,15
02-03-2015,24
02-04-2015,19
02-05-2015,19
02-06-2015,25
02-07-2015,5
02-08-2015,2
02-09-2015,16
02-10-2015,16
02-11-2015,11
02-12-2015,12
02-13-2015,19
02-14-2015,2
02-15-2015,3
02-16-2015,22
02-17-2015,25
02-18-2015,17
02-19-2015,15
02-20-2015,13
02-21-2015,3
02-22-2015,2
02-23-2015,19
02-24-2015,19
02-25-2015,22
02-26-2015,21
02-27-2015,18
02-28-2015,3
03-01-2015,1
03-02-2015,10
03-03-2015,15
03-04-2015,10
03-05-2015,18
03-06-2015,16
03-07-2015,4
03-08-2015,2
03-09-2015,11
03-10-2015,15
03-11-2015,15
03-12-2015,19
03-13-2015,15
03-14-2015,1
03-15-2015,2
03-16-2015,10
03-17-2015,15
03-18-2015,11
03-19-2015,16
03-20-2015,21
03-21-2015,3
03-22-2015,2
03-23-2015,16
03-24-2015,18
03-25-2015,15
03-26-2015,14
03-27-2015,22
03-28-2015,0
03-29-2015,2
03-30-2015,13
03-31-2015,25
04-01-2015,28
04-02-2015,16
04-03-2015,4
04-04-2015,0
04-05-2015,1
04-06-2015,13
04-07-2015,13
04-08-2015,15
04-09-2015,12
04-10-2015,7
04-11-2015,1
04-12-2015,0
04-13-2015,18
04-14-2015,23
04-15-2015,18
04-16-2015,17
04-17-2015,16
04-18-2015,1
04-19-2015,2
04-20-2015,19
04-21-2015,20
04-22-2015,22
04-23-2015,17
04-24-2015,19
04-25-2015,1
04-26-2015,0
04-27-2015,21
04-28-2015,25
04-29-2015,12
04-30-2015,17
05-01-2015,16
05-02-2015,3
05-03-2015,3
05-04-2015,15
05-05-2015,12
05-06-2015,13
05-07-2015,23
05-08-2015,11
05-09-2015,2
05-10-2015,3
05-11-2015,18
05-12-2015,21
05-13-2015,22
05-14-2015,12
05-15-2015,11
05-16-2015,2
05-17-2015,1
05-18-2015,13
05-19-2015,31
05-20-2015,23
05-21-2015,24
05-22-2015,10
05-23-2015,2
05-24-2015,5
05-25-2015,3
05-26-2015,20
05-27-2015,25
05-28-2015,22
05-29-2015,33
05-30-2015,4
05-31-2015,4
06-01-2015,32
06-02-2015,25
06-03-2015,27
06-04-2015,21
06-05-2015,25
06-06-2015,3
06-07-2015,2
06-08-2015,30
06-09-2015,32
06-10-2015,24
06-11-2015,14
06-12-2015,16
06-13-2015,4
06-14-2015,5
06-15-2015,17
06-16-2015,20
06-17-2015,15
06-18-2015,15
06-19-2015,12
06-20-2015,3
06-21-2015,3
06-22-2015,22
06-23-2015,15
06-24-2015,25
06-25-2015,16
06-26-2015,18
06-27-2015,4
06-28-2015,0
06-29-2015,20
06-30-2015,22
07-01-2015,19
07-02-2015,26
07-03-2015,6
07-04-2015,3
07-05-2015,3
07-06-2015,24
07-07-2015,30
07-08-2015,21
07-09-2015,29
07-10-2015,17
07-11-2015,3
07-12-2015,3
07-13-2015,26
07-14-2015,35
07-15-2015,30
07-16-2015,26
07-17-2015,17
07-18-2015,2
07-19-2015,5
07-20-2015,16
07-21-2015,31
07-22-2015,28
07-23-2015,35
07-24-2015,23
07-25-2015,4
07-26-2015,5
07-27-2015,28
07-28-2015,29
07-29-2015,26
07-30-2015,27
07-31-2015,20
08-01-2015,20
08-02-2015,6
08-03-2015,24
08-04-2015,39
08-05-2015,24
08-06-2015,38
08-07-2015,30
08-08-2015,4
08-09-2015,7
08-10-2015,43
08-11-2015,52
08-12-2015,57
08-13-2015,45
08-14-2015,27
08-15-2015,9
08-16-2015,4
08-17-2015,58
08-18-2015,47
08-19-2015,47
08-20-2015,41
08-21-2015,46
08-22-2015,11
08-23-2015,16
08-24-2015,47
08-25-2015,55
08-26-2015,52
08-27-2015,47
08-28-2015,48
08-29-2015,12
08-30-2015,11
08-31-2015,50
09-01-2015,59
09-02-2015,64
09-03-2015,73
09-04-2015,40
09-05-2015,6
09-06-2015,6
09-07-2015,10
09-08-2015,36
09-09-2015,46
09-10-2015,55
09-11-2015,53
09-12-2015,13
09-13-2015,11
09-14-2015,50
09-15-2015,50
09-16-2015,62
09-17-2015,61
09-18-2015,69
09-19-2015,17
09-20-2015,9
09-21-2015,59
09-22-2015,81
09-23-2015,78
09-24-2015,69
09-25-2015,55
09-26-2015,16
09-27-2015,32
09-28-2015,77
09-29-2015,80
09-30-2015,68
10-01-2015,92
10-02-2015,66
10-03-2015,15
10-04-2015,25
10-05-2015,64
10-06-2015,65
10-07-2015,64
10-08-2015,65
10-09-2015,60
10-10-2015,11
10-11-2015,14
10-12-2015,55
10-13-2015,81
10-14-2015,81
10-15-2015,68
10-16-2015,55
10-17-2015,17
10-18-2015,14
10-19-2015,75
10-20-2015,73
10-21-2015,59
10-22-2015,79
10-23-2015,49
10-24-2015,12
10-25-2015,10
10-26-2015,61
10-27-2015,65
10-28-2015,71
10-29-2015,76
10-30-2015,51
10-31-2015,9
11-01-2015,6
11-02-2015,59
11-03-2015,71
11-04-2015,82
11-05-2015,61
11-06-2015,53
11-07-2015,23
11-08-2015,12
11-09-2015,55
11-10-2015,76
11-11-2015,65
11-12-2015,63
11-13-2015,47
11-14-2015,9
11-15-2015,7
11-16-2015,68
11-17-2015,63
11-18-2015,65
11-19-2015,64
11-20-2015,51
11-21-2015,15
11-22-2015,8
11-23-2015,54
11-24-2015,46
11-25-2015,32
11-26-2015,10
11-27-2015,13
11-28-2015,9
11-29-2015,8
11-30-2015,55
12-01-2015,60
