Date,DAU,MAU,DAU/MAU %
09-14-2015,50.0,368.0,13.586956521739129
09-15-2015,50.0,373.0,13.404825737265416
09-16-2015,62.0,379.0,16.358839050131927
09-17-2015,61.0,394.0,15.48223350253807
09-18-2015,69.0,402.0,17.16417910447761
09-21-2015,59.0,409.0,14.425427872860636
09-22-2015,81.0,410.0,19.75609756097561
09-23-2015,78.0,424.0,18.39622641509434
09-24-2015,69.0,451.0,15.299334811529933
09-25-2015,55.0,463.0,11.879049676025918
09-28-2015,77.0,462.0,16.666666666666664
09-29-2015,80.0,479.0,16.701461377870565
09-30-2015,68.0,495.0,13.737373737373737
10-01-2015,92.0,507.0,18.14595660749507
10-02-2015,66.0,524.0,12.595419847328243
10-05-2015,64.0,493.0,12.981744421906694
10-06-2015,65.0,498.0,13.052208835341366
10-07-2015,64.0,508.0,12.598425196850393
10-08-2015,65.0,516.0,12.5968992248062
10-09-2015,60.0,530.0,11.320754716981133
10-12-2015,55.0,509.0,10.805500982318271
10-13-2015,81.0,502.0,16.135458167330675
10-14-2015,81.0,513.0,15.789473684210526
10-15-2015,68.0,516.0,13.178294573643413
10-16-2015,55.0,519.0,10.597302504816955
10-19-2015,75.0,506.0,14.82213438735178
10-20-2015,73.0,505.0,14.455445544554454
10-21-2015,59.0,508.0,11.614173228346457
10-22-2015,79.0,512.0,15.4296875
10-23-2015,49.0,507.0,9.664694280078894
10-26-2015,61.0,478.0,12.761506276150628
10-27-2015,65.0,473.0,13.742071881606766
10-28-2015,71.0,476.0,14.915966386554622
10-29-2015,76.0,471.0,16.13588110403397
10-30-2015,51.0,467.0,10.920770877944326
11-02-2015,59.0,443.0,13.31828442437923
11-03-2015,71.0,443.0,16.02708803611738
11-04-2015,82.0,449.0,18.262806236080177
11-05-2015,61.0,461.0,13.232104121475055
11-06-2015,53.0,455.0,11.648351648351648
11-09-2015,55.0,435.0,12.643678160919542
11-10-2015,76.0,427.0,17.798594847775178
11-11-2015,65.0,441.0,14.73922902494331
11-12-2015,63.0,445.0,14.157303370786517
11-13-2015,47.0,450.0,10.444444444444445
11-16-2015,68.0,438.0,15.52511415525114
11-17-2015,63.0,441.0,14.285714285714285
11-18-2015,65.0,446.0,14.573991031390134
11-19-2015,64.0,445.0,14.382022471910114
11-20-2015,51.0,439.0,11.617312072892938
11-23-2015,54.0,422.0,12.796208530805686
11-24-2015,47.0,421.0,11.163895486935866
11-25-2015,32.0,426.0,7.511737089201878
11-26-2015,10.0,425.0,2.3529411764705883
11-27-2015,13.0,423.0,3.0732860520094563
11-30-2015,55.0,400.0,13.750000000000002
12-01-2015,60.0,398.0,15.07537688442211
12-02-2015,61.0,404.0,15.099009900990099
12-03-2015,65.0,411.0,15.815085158150852
12-04-2015,44.0,408.0,10.784313725490197
12-07-2015,64.0,380.0,16.842105263157894
12-08-2015,70.0,386.0,18.134715025906736
12-09-2015,42.0,390.0,10.76923076923077
12-10-2015,55.0,395.0,13.924050632911392
12-11-2015,39.0,396.0,9.848484848484848
12-14-2015,0.0,,
12-15-2015,0.0,,
12-16-2015,0.0,,
12-17-2015,0.0,,
12-18-2015,0.0,,
