Date,WAU,YAU,WAU/YAU %
01-01-2015,10.0,71.0,14.084507042253522
01-02-2015,11.0,71.0,15.492957746478872
01-05-2015,16.0,72.0,22.22222222222222
01-06-2015,18.0,72.0,25.0
01-07-2015,23.0,74.0,31.08108108108108
01-08-2015,23.0,75.0,30.666666666666664
01-09-2015,25.0,75.0,33.33333333333333
01-12-2015,24.0,79.0,30.37974683544304
01-13-2015,26.0,81.0,32.098765432098766
01-14-2015,25.0,82.0,30.48780487804878
01-15-2015,31.0,86.0,36.04651162790697
01-16-2015,30.0,87.0,34.48275862068966
01-19-2015,27.0,89.0,30.337078651685395
01-20-2015,24.0,89.0,26.96629213483146
01-21-2015,19.0,89.0,21.34831460674157
01-22-2015,17.0,89.0,19.101123595505616
01-23-2015,17.0,90.0,18.88888888888889
01-26-2015,18.0,91.0,19.78021978021978
01-27-2015,21.0,93.0,22.58064516129032
01-28-2015,24.0,94.0,25.53191489361702
01-29-2015,25.0,96.0,26.041666666666668
01-30-2015,34.0,104.0,32.69230769230769
02-02-2015,32.0,104.0,30.76923076923077
02-03-2015,37.0,106.0,34.90566037735849
02-04-2015,40.0,106.0,37.735849056603776
02-05-2015,37.0,106.0,34.90566037735849
02-06-2015,31.0,108.0,28.703703703703702
02-09-2015,35.0,109.0,32.11009174311927
02-10-2015,33.0,109.0,30.275229357798167
02-11-2015,35.0,112.0,31.25
02-12-2015,34.0,112.0,30.357142857142854
02-13-2015,31.0,112.0,27.67857142857143
02-16-2015,30.0,115.0,26.08695652173913
02-17-2015,31.0,117.0,26.495726495726498
02-18-2015,34.0,120.0,28.333333333333332
02-19-2015,35.0,120.0,29.166666666666668
02-20-2015,33.0,120.0,27.500000000000004
02-23-2015,28.0,120.0,23.333333333333332
02-24-2015,31.0,122.0,25.40983606557377
02-25-2015,27.0,122.0,22.131147540983605
02-26-2015,29.0,123.0,23.577235772357724
02-27-2015,29.0,123.0,23.577235772357724
03-02-2015,35.0,125.0,28.000000000000004
03-03-2015,34.0,126.0,26.984126984126984
03-04-2015,30.0,126.0,23.809523809523807
03-05-2015,27.0,126.0,21.428571428571427
03-06-2015,30.0,126.0,23.809523809523807
03-09-2015,23.0,127.0,18.11023622047244
03-10-2015,23.0,128.0,17.96875
03-11-2015,25.0,128.0,19.53125
03-12-2015,29.0,128.0,22.65625
03-13-2015,30.0,130.0,23.076923076923077
03-16-2015,26.0,131.0,19.84732824427481
03-17-2015,26.0,131.0,19.84732824427481
03-18-2015,24.0,131.0,18.3206106870229
03-19-2015,25.0,132.0,18.939393939393938
03-20-2015,22.0,132.0,16.666666666666664
03-23-2015,26.0,135.0,19.25925925925926
03-24-2015,30.0,136.0,22.058823529411764
03-25-2015,32.0,137.0,23.357664233576642
03-26-2015,31.0,137.0,22.62773722627737
03-27-2015,30.0,137.0,21.897810218978105
03-30-2015,34.0,138.0,24.637681159420293
03-31-2015,33.0,139.0,23.741007194244602
04-01-2015,36.0,146.0,24.65753424657534
04-02-2015,42.0,152.0,27.631578947368425
04-03-2015,45.0,157.0,28.662420382165603
04-06-2015,39.0,157.0,24.840764331210192
04-07-2015,40.0,159.0,25.157232704402517
04-08-2015,39.0,160.0,24.375
04-09-2015,30.0,161.0,18.633540372670808
04-10-2015,25.0,161.0,15.527950310559005
04-13-2015,26.0,161.0,16.149068322981368
04-14-2015,30.0,165.0,18.181818181818183
04-15-2015,39.0,165.0,23.636363636363637
04-16-2015,41.0,166.0,24.69879518072289
04-17-2015,42.0,168.0,25.0
04-20-2015,47.0,169.0,27.810650887573964
04-21-2015,45.0,171.0,26.31578947368421
04-22-2015,44.0,171.0,25.730994152046783
04-23-2015,43.0,174.0,24.71264367816092
04-24-2015,42.0,175.0,24.0
04-27-2015,38.0,175.0,21.714285714285715
04-28-2015,36.0,177.0,20.33898305084746
04-29-2015,36.0,180.0,20.0
04-30-2015,35.0,180.0,19.444444444444446
05-01-2015,41.0,186.0,22.043010752688172
05-04-2015,38.0,186.0,20.43010752688172
05-05-2015,40.0,189.0,21.164021164021165
05-06-2015,36.0,190.0,18.947368421052634
05-07-2015,36.0,190.0,18.947368421052634
05-08-2015,41.0,192.0,21.354166666666664
05-11-2015,44.0,194.0,22.68041237113402
05-12-2015,44.0,197.0,22.33502538071066
05-13-2015,44.0,197.0,22.33502538071066
05-14-2015,45.0,199.0,22.613065326633166
05-15-2015,40.0,199.0,20.100502512562816
05-18-2015,35.0,199.0,17.587939698492463
05-19-2015,34.0,199.0,17.08542713567839
05-20-2015,35.0,201.0,17.412935323383085
05-21-2015,35.0,203.0,17.24137931034483
05-22-2015,37.0,203.0,18.226600985221676
05-25-2015,37.0,203.0,18.226600985221676
05-26-2015,37.0,203.0,18.226600985221676
05-27-2015,34.0,203.0,16.748768472906402
05-28-2015,33.0,206.0,16.019417475728158
05-29-2015,32.0,207.0,15.458937198067632
06-01-2015,34.0,208.0,16.346153846153847
06-02-2015,35.0,208.0,16.826923076923077
06-03-2015,34.0,208.0,16.346153846153847
06-04-2015,30.0,209.0,14.354066985645932
06-05-2015,30.0,210.0,14.285714285714285
06-08-2015,28.0,211.0,13.270142180094787
06-09-2015,34.0,211.0,16.113744075829384
06-10-2015,43.0,214.0,20.093457943925234
06-11-2015,46.0,217.0,21.19815668202765
06-12-2015,45.0,218.0,20.642201834862387
06-15-2015,45.0,220.0,20.454545454545457
06-16-2015,35.0,220.0,15.909090909090908
06-17-2015,28.0,220.0,12.727272727272727
06-18-2015,28.0,220.0,12.727272727272727
06-19-2015,29.0,222.0,13.063063063063062
06-22-2015,29.0,222.0,13.063063063063062
06-23-2015,37.0,223.0,16.591928251121075
06-24-2015,32.0,223.0,14.349775784753364
06-25-2015,39.0,224.0,17.410714285714285
06-26-2015,37.0,225.0,16.444444444444446
06-29-2015,38.0,226.0,16.8141592920354
06-30-2015,35.0,227.0,15.418502202643172
07-01-2015,39.0,227.0,17.180616740088105
07-02-2015,38.0,228.0,16.666666666666664
07-03-2015,34.0,228.0,14.912280701754385
07-06-2015,31.0,228.0,13.596491228070176
07-07-2015,33.0,228.0,14.473684210526317
07-08-2015,28.0,228.0,12.280701754385964
07-09-2015,27.0,228.0,11.842105263157894
07-10-2015,31.0,228.0,13.596491228070176
07-13-2015,35.0,229.0,15.283842794759824
07-14-2015,35.0,229.0,15.283842794759824
07-15-2015,41.0,234.0,17.52136752136752
07-16-2015,40.0,235.0,17.02127659574468
07-17-2015,39.0,235.0,16.595744680851062
07-20-2015,36.0,235.0,15.319148936170212
07-21-2015,34.0,235.0,14.468085106382977
07-22-2015,32.0,239.0,13.389121338912133
07-23-2015,32.0,240.0,13.333333333333334
07-24-2015,38.0,243.0,15.637860082304528
07-27-2015,40.0,244.0,16.39344262295082
07-28-2015,42.0,245.0,17.142857142857142
07-29-2015,40.0,246.0,16.260162601626014
07-30-2015,38.0,247.0,15.384615384615385
07-31-2015,30.0,248.0,12.096774193548388
08-03-2015,28.0,248.0,11.29032258064516
08-04-2015,25.0,248.0,10.080645161290322
08-05-2015,29.0,252.0,11.507936507936508
08-06-2015,26.0,252.0,10.317460317460316
08-07-2015,25.0,252.0,9.920634920634921
08-10-2015,34.0,260.0,13.076923076923078
08-11-2015,45.0,267.0,16.853932584269664
08-12-2015,47.0,269.0,17.472118959107807
08-13-2015,53.0,270.0,19.62962962962963
08-14-2015,57.0,271.0,21.033210332103323
08-17-2015,47.0,271.0,17.343173431734318
08-18-2015,46.0,273.0,16.84981684981685
08-19-2015,44.0,275.0,16.0
08-20-2015,38.0,275.0,13.818181818181818
08-21-2015,34.0,275.0,12.363636363636363
08-24-2015,42.0,276.0,15.217391304347828
08-25-2015,43.0,276.0,15.579710144927535
08-26-2015,40.0,277.0,14.440433212996389
08-27-2015,35.0,277.0,12.63537906137184
08-28-2015,36.0,277.0,12.996389891696749
08-31-2015,31.0,277.0,11.191335740072201
09-01-2015,30.0,277.0,10.830324909747292
09-02-2015,29.0,278.0,10.431654676258994
09-03-2015,33.0,278.0,11.870503597122301
09-04-2015,31.0,278.0,11.151079136690647
09-07-2015,29.0,278.0,10.431654676258994
09-08-2015,26.0,278.0,9.352517985611511
09-09-2015,30.0,279.0,10.75268817204301
09-10-2015,31.0,279.0,11.11111111111111
09-11-2015,38.0,280.0,13.571428571428571
09-14-2015,54.0,284.0,19.014084507042252
09-15-2015,64.0,287.0,22.299651567944252
09-16-2015,64.0,287.0,22.299651567944252
09-17-2015,75.0,291.0,25.773195876288657
09-18-2015,71.0,295.0,24.06779661016949
09-21-2015,61.0,299.0,20.401337792642142
09-22-2015,60.0,302.0,19.867549668874172
09-23-2015,66.0,303.0,21.782178217821784
09-24-2015,58.0,306.0,18.954248366013072
09-25-2015,64.0,309.0,20.711974110032365
09-28-2015,63.0,311.0,20.257234726688104
09-29-2015,61.0,314.0,19.426751592356688
09-30-2015,62.0,318.0,19.49685534591195
10-01-2015,64.0,323.0,19.814241486068113
10-02-2015,69.0,331.0,20.84592145015106
10-05-2015,70.0,335.0,20.8955223880597
10-06-2015,72.0,337.0,21.364985163204746
10-07-2015,67.0,337.0,19.881305637982198
10-08-2015,63.0,339.0,18.58407079646018
10-09-2015,62.0,340.0,18.235294117647058
10-12-2015,59.0,342.0,17.251461988304094
10-13-2015,52.0,342.0,15.204678362573098
10-14-2015,50.0,342.0,14.619883040935672
10-15-2015,51.0,344.0,14.825581395348838
10-16-2015,45.0,345.0,13.043478260869565
10-19-2015,42.0,347.0,12.103746397694524
10-20-2015,42.0,348.0,12.068965517241379
10-21-2015,44.0,349.0,12.607449856733524
10-22-2015,40.0,349.0,11.461318051575931
10-23-2015,40.0,352.0,11.363636363636363
10-26-2015,43.0,356.0,12.07865168539326
10-27-2015,43.0,357.0,12.044817927170868
10-28-2015,43.0,358.0,12.011173184357542
10-29-2015,44.0,359.0,12.256267409470752
10-30-2015,44.0,361.0,12.18836565096953
11-02-2015,40.0,363.0,11.019283746556475
11-03-2015,40.0,365.0,10.95890410958904
11-04-2015,40.0,367.0,10.899182561307901
11-05-2015,42.0,369.0,11.38211382113821
11-06-2015,45.0,371.0,12.129380053908356
11-09-2015,45.0,371.0,12.129380053908356
11-10-2015,45.0,371.0,12.129380053908356
11-11-2015,54.0,374.0,14.43850267379679
11-12-2015,50.0,371.0,13.477088948787062
11-13-2015,46.0,371.0,12.398921832884097
11-16-2015,42.0,367.0,11.444141689373296
11-17-2015,41.0,367.0,11.1716621253406
11-18-2015,37.0,366.0,10.10928961748634
11-19-2015,39.0,365.0,10.684931506849315
11-20-2015,40.0,367.0,10.899182561307901
11-23-2015,42.0,366.0,11.475409836065573
11-24-2015,40.0,366.0,10.92896174863388
11-25-2015,37.0,366.0,10.10928961748634
11-26-2015,34.0,366.0,9.289617486338798
11-27-2015,28.0,365.0,7.671232876712329
11-30-2015,23.0,366.0,6.284153005464481
12-01-2015,24.0,367.0,6.539509536784741
12-02-2015,24.0,367.0,6.539509536784741
12-03-2015,25.0,367.0,6.811989100817439
12-04-2015,28.0,368.0,7.608695652173914
12-07-2015,28.0,368.0,7.608695652173914
12-08-2015,30.0,368.0,8.152173913043478
12-09-2015,32.0,369.0,8.672086720867208
12-10-2015,31.0,369.0,8.401084010840108
12-11-2015,30.0,369.0,8.130081300813007
12-14-2015,32.0,370.0,8.64864864864865
12-15-2015,32.0,370.0,8.64864864864865
12-16-2015,28.0,369.0,7.588075880758807
